Loan_amount,Income,Term,Loan_purpose
206500,42000,168,Education
1386500,41820,360,Education
2106500,41760,180,Mortgage
1776500,41700,360,Education
456500,41640,180,Mortgage
2006500,41580,180,Personal
626500,41520,360,Mortgage
336500,41520,180,Personal
666500,41460,180,Personal
506500,41460,360,Mortgage
656500,41400,180,Personal
476500,40860,360,Personal
296500,40860,360,Mortgage
276500,40800,360,Education
1476500,40740,360,Investment
396500,40680,240,Mortgage
266500,40620,180,Mortgage
186500,40620,360,Education
1246500,40500,360,Personal
266500,40500,360,Personal
616500,40380,360,Mortgage
776500,40320,360,Investment
326500,40320,180,Education
1216500,40260,360,Mortgage
436500,40260,360,Personal
306500,40260,180,Mortgage
616500,40020,180,Mortgage
726500,39960,360,Mortgage
716500,39960,360,Personal
276500,39960,360,Education
726500,39900,360,Personal
726500,39840,360,Personal
676500,39840,360,Mortgage
296500,39720,360,Mortgage
206500,39660,180,Education
706500,39600,360,Mortgage
1366500,39480,360,Education
636500,39480,360,Personal
546500,39480,360,Mortgage
886500,39420,360,Education
396500,39420,360,Mortgage
1406500,39360,180,Mortgage
736500,39360,360,Mortgage
336500,39360,360,Mortgage
1506500,39300,360,Mortgage
1356500,39300,360,Personal
846500,39300,360,Education
726500,39240,360,Mortgage
606500,39180,360,Mortgage
1906500,39060,360,Mortgage
786500,39060,360,Personal
1176500,39000,360,Mortgage
366500,39000,360,Mortgage
426500,38940,360,Mortgage
406500,38940,360,Mortgage
306500,38940,360,Personal
516500,38880,360,Personal
486500,38880,360,Personal
396500,38880,300,Mortgage
266500,38880,360,Education
496500,38760,360,Personal
326500,38760,180,Personal
2006500,38640,324,Education
306500,38640,180,Mortgage
406500,38580,360,Education
306500,38460,360,Education
926500,38400,360,Education
786500,38400,360,Education
696500,38400,360,Education
506500,38400,360,Personal
256500,38400,180,Mortgage
406500,38280,360,Personal
396500,38280,360,Mortgage
386500,38280,360,Mortgage
426500,38220,360,Mortgage
356500,38100,360,Mortgage
216500,38100,180,Investment
906500,38040,180,Education
866500,37860,300,Mortgage
486500,37860,360,Personal
406500,37860,324,Mortgage
726500,37800,360,Education
566500,37800,180,Education
456500,37800,360,Personal
616500,37740,360,Personal
606500,37680,180,Education
1806500,37560,360,Personal
186500,37560,360,Personal
166500,37560,180,Personal
666500,37500,360,Mortgage
346500,37500,360,Education
566500,37440,360,Personal
206500,37440,180,Personal
426500,37320,360,Education
286500,37260,360,Mortgage
286500,37260,360,Education
726500,37200,324,Personal
316500,37200,360,Investment
246500,37200,360,Mortgage
756500,37080,180,Personal
336500,37080,360,Mortgage
586500,37020,240,Education
1326500,36960,180,Mortgage
1006500,36900,180,Personal
656500,36900,180,Personal
846500,36840,360,Mortgage
726500,36840,360,Mortgage
466500,36840,360,Education
236500,36840,360,Mortgage
566500,36780,360,Education
1466500,36720,360,Personal
1006500,36720,360,Personal
1266500,36660,360,Education
566500,36660,180,Mortgage
306500,36600,360,Mortgage
986500,36300,180,Personal
656500,36300,360,Personal
906500,36120,360,Mortgage
706500,36120,180,Education
726500,36060,360,Mortgage
2126500,36000,360,Personal
1706500,36000,360,Mortgage
1306500,36000,360,Mortgage
716500,36000,360,Investment
366500,36000,324,Mortgage
516500,35940,360,Education
456500,35940,360,Education
296500,35880,180,Education
1406500,35820,360,Education
656500,35820,360,Mortgage
576500,35820,360,Mortgage
486500,35820,360,Personal
206500,35820,360,Personal
1016500,35760,360,Mortgage
996500,35700,360,Personal
396500,35700,180,Mortgage
1656500,35640,360,Mortgage
606500,35640,360,Investment
436500,35640,360,Education
386500,35640,360,Personal
1366500,35460,360,Mortgage
996500,35460,180,Personal
556500,35460,360,Personal
486500,35460,360,Personal
526500,35400,360,Personal
516500,35400,360,Personal
206500,35340,360,Education
506500,35280,360,Personal
346500,35280,180,Education
286500,35280,180,Education
486500,35220,360,Education
356500,35220,360,Mortgage
626500,35160,360,Mortgage
286500,35160,360,Mortgage
206500,35040,360,Personal
1006500,34980,360,Mortgage
806500,34980,360,Mortgage
726500,34980,360,Personal
506500,34980,360,Mortgage
1206500,34920,360,Mortgage
726500,34920,180,Mortgage
516500,34920,180,Personal
596500,34860,360,Mortgage
206500,34860,180,Mortgage
206500,34740,360,Mortgage
1306500,34680,360,Investment
426500,34680,360,Personal
346500,34680,360,Mortgage
846500,34620,360,Education
166500,34620,240,Education
756500,34560,180,Education
846500,34500,180,Mortgage
446500,34500,300,Mortgage
636500,34440,360,Education
486500,34440,360,Personal
456500,34440,180,Personal
696500,34380,180,Mortgage
386500,34380,360,Mortgage
2406500,34260,360,Education
846500,34260,360,Personal
406500,34260,240,Mortgage
206500,34260,360,Personal
436500,34200,360,Mortgage
256500,34200,360,Mortgage
906500,34140,360,Education
526500,34080,180,Education
726500,34020,180,Personal
566500,34020,360,Education
546500,34020,360,Mortgage
1036500,33960,300,Personal
856500,33900,180,Mortgage
486500,33900,360,Education
366500,33900,360,Education
906500,33780,180,Personal
226500,33780,360,Education
486500,33720,180,Mortgage
1056500,33660,300,Investment
486500,33660,360,Personal
486500,33600,360,Personal
396500,33600,360,Education
2276500,33540,360,Personal
956500,33540,360,Personal
606500,33540,360,Personal
466500,33540,360,Mortgage
206500,33540,180,Mortgage
486500,33480,360,Education
456500,33420,360,Mortgage
336500,33420,360,Personal
256500,33420,360,Mortgage
696500,33360,360,Mortgage
556500,33360,180,Mortgage
386500,33360,360,Education
746500,33300,360,Personal
506500,33300,324,Mortgage
256500,33300,180,Personal
536500,33180,360,Mortgage
306500,33180,360,Personal
286500,33180,360,Personal
256500,33120,360,Mortgage
396500,33060,180,Mortgage
306500,33060,360,Personal
306500,33060,360,Personal
606500,33000,360,Mortgage
556500,33000,240,Mortgage
246500,33000,180,Personal
746500,32940,360,Personal
556500,32940,360,Personal
256500,32940,360,Personal
356500,32880,240,Mortgage
1896500,32820,360,Education
1106500,32820,360,Education
696500,32820,360,Personal
616500,32820,180,Personal
496500,32820,360,Education
616500,32760,180,Personal
336500,32760,360,Personal
936500,32700,360,Mortgage
326500,32700,360,Personal
686500,32640,360,Mortgage
266500,32640,180,Education
1966500,32580,360,Personal
316500,32580,360,Personal
606500,32520,360,Personal
486500,32520,360,Education
376500,32520,360,Education
936500,32460,360,Personal
486500,32460,180,Education
196500,32460,180,Personal
426500,32400,360,Personal
406500,32400,360,Education
376500,32400,360,Education
326500,32400,360,Personal
166500,32400,360,Mortgage
946500,32340,360,Education
736500,32280,360,Mortgage
726500,32280,360,Mortgage
976500,32220,360,Education
486500,32220,180,Personal
396500,32220,180,Mortgage
666500,32160,360,Education
416500,32160,180,Personal
256500,32160,180,Personal
1006500,32100,360,Mortgage
256500,32040,360,Mortgage
496500,31980,360,Personal
486500,31980,180,Education
296500,31980,360,Mortgage
156500,31980,360,Personal
846500,31920,180,Personal
486500,31920,360,Education
856500,31860,180,Personal
486500,31860,180,Education
256500,31860,360,Personal
416500,31740,324,Personal
356500,31740,360,Personal
766500,31680,360,Personal
686500,31620,360,Mortgage
386500,31620,360,Education
276500,31560,360,Personal
276500,31560,180,Mortgage
1506500,31500,360,Education
726500,31500,360,Mortgage
416500,31500,144,Mortgage
546500,31440,360,Personal
486500,31380,180,Mortgage
476500,31380,360,Personal
426500,31380,180,Personal
396500,31380,120,Mortgage
566500,31320,360,Mortgage
1366500,31260,360,Mortgage
876500,31260,360,Personal
826500,31260,360,Education
806500,31260,360,Personal
486500,31200,360,Mortgage
686500,31140,360,Mortgage
606500,31140,180,Education
866500,31080,360,Mortgage
916500,31020,360,Personal
766500,31020,360,Education
396500,31020,360,Education
306500,31020,360,Mortgage
806500,30900,360,Mortgage
606500,30900,180,Personal
546500,30900,180,Personal
456500,30900,360,Mortgage
366500,30900,180,Mortgage
1116500,30840,360,Mortgage
626500,30840,360,Education
586500,30840,360,Mortgage
466500,30840,240,Mortgage
756500,30780,360,Investment
256500,30780,360,Mortgage
756500,30720,360,Personal
456500,30720,360,Mortgage
416500,30720,180,Personal
296500,30720,360,Personal
396500,30660,360,Personal
756500,30600,360,Mortgage
666500,30600,360,Mortgage
516500,30600,240,Personal
366500,30600,180,Personal
386500,30540,360,Education
626500,30480,360,Mortgage
446500,30420,360,Mortgage
336500,30420,96,Mortgage
966500,30360,360,Education
716500,30360,360,Personal
776500,30300,180,Education
486500,30300,360,Personal
286500,30300,324,Personal
246500,30300,180,Mortgage
626500,30240,180,Mortgage
236500,30240,360,Mortgage
1686500,30180,180,Mortgage
806500,30180,360,Mortgage
726500,30180,360,Education
496500,30180,360,Personal
306500,30180,360,Education
156500,30180,360,Education
1056500,30120,300,Education
846500,30120,360,Personal
636500,30120,360,Personal
526500,30120,360,Education
166500,30120,180,Mortgage
756500,30000,360,Education
746500,30000,360,Mortgage
726500,30000,360,Mortgage
606500,30000,360,Mortgage
586500,30000,360,Education
556500,30000,360,Mortgage
486500,30000,360,Mortgage
486500,30000,300,Personal
266500,30000,324,Mortgage
126500,30000,360,Mortgage
106500,30000,360,Mortgage
106500,30000,360,Personal
696500,29940,360,Personal
446500,29940,360,Education
396500,29940,360,Education
636500,29880,360,Education
856500,29820,180,Personal
726500,29760,360,Education
726500,29760,360,Personal
706500,29760,360,Education
686500,29760,360,Education
326500,29760,360,Mortgage
276500,29760,360,Personal
696500,29700,180,Personal
636500,29700,360,Mortgage
356500,29700,360,Education
226500,29700,360,Mortgage
156500,29700,180,Personal
386500,29640,180,Education
736500,29580,360,Education
506500,29580,180,Personal
426500,29580,360,Personal
436500,29520,360,Mortgage
426500,29520,180,Education
706500,29460,360,Personal
256500,29460,360,Education
1016500,29400,180,Education
286500,29400,360,Mortgage
1286500,29340,360,Personal
1256500,29340,180,Personal
276500,29340,360,Mortgage
1466500,29280,180,Personal
996500,29280,360,Personal
876500,29280,360,Personal
746500,29280,180,Personal
576500,29280,360,Personal
376500,29280,360,Education
316500,29280,360,Investment
306500,29280,180,Education
186500,29280,120,Mortgage
986500,29220,180,Mortgage
526500,29220,360,Mortgage
516500,29220,360,Personal
456500,29220,360,Mortgage
456500,29160,360,Mortgage
386500,29160,360,Mortgage
346500,29160,360,Mortgage
1506500,29100,360,Personal
926500,29100,360,Education
706500,29100,180,Mortgage
326500,29100,360,Personal
256500,29100,360,Personal
706500,29040,360,Mortgage
636500,29040,360,Mortgage
476500,29040,360,Mortgage
1756500,28980,360,Education
1726500,28980,324,Personal
1136500,28980,360,Personal
696500,28980,360,Investment
936500,28920,360,Investment
446500,28920,360,Education
746500,28860,360,Mortgage
476500,28860,360,Personal
476500,28860,180,Personal
356500,28860,180,Education
246500,28860,360,Mortgage
1156500,28800,360,Mortgage
906500,28800,360,Education
696500,28800,360,Mortgage
646500,28800,180,Personal
636500,28800,360,Personal
506500,28800,360,Mortgage
456500,28800,180,Personal
376500,28800,360,Education
326500,28800,360,Education
196500,28800,180,Personal
56500,28800,360,Personal
1006500,28740,180,Mortgage
516500,28740,360,Personal
486500,28740,180,Personal
296500,28740,360,Personal
186500,28740,360,Mortgage
156500,28740,360,Personal
1046500,28680,360,Education
746500,28680,360,Mortgage
486500,28680,360,Mortgage
1106500,28620,360,Education
486500,28620,360,Mortgage
866500,28560,360,Education
466500,28560,360,Personal
456500,28560,180,Investment
356500,28560,360,Personal
336500,28560,360,Mortgage
1006500,28500,360,Personal
726500,28500,360,Education
676500,28500,360,Mortgage
1886500,28440,360,Mortgage
1346500,28440,180,Education
866500,28440,180,Personal
436500,28440,180,Mortgage
426500,28440,360,Mortgage
266500,28440,180,Mortgage
726500,28380,360,Personal
276500,28380,360,Personal
266500,28380,180,Mortgage
306500,28320,360,Personal
236500,28320,360,Mortgage
966500,28260,360,Education
706500,28260,360,Personal
416500,28260,360,Personal
336500,28260,324,Education
676500,28200,360,Mortgage
406500,28200,360,Education
406500,28200,180,Education
376500,28200,360,Education
106500,28200,180,Mortgage
626500,28140,360,Mortgage
456500,28140,360,Mortgage
386500,28140,240,Personal
316500,28140,360,Education
1106500,28080,360,Education
606500,28020,180,Personal
426500,28020,360,Personal
346500,28020,180,Mortgage
2276500,27960,360,Education
766500,27960,360,Education
756500,27960,360,Education
726500,27960,240,Personal
606500,27960,300,Mortgage
606500,27960,360,Mortgage
486500,27960,240,Mortgage
846500,27900,360,Personal
486500,27900,360,Education
456500,27900,360,Education
306500,27900,180,Education
136500,27900,180,Mortgage
2406500,27840,360,Mortgage
1196500,27840,360,Education
1066500,27840,360,Education
586500,27840,360,Personal
546500,27840,360,Education
1546500,27780,360,Personal
1026500,27780,360,Personal
946500,27780,360,Mortgage
506500,27780,360,Mortgage
446500,27780,360,Personal
366500,27780,360,Mortgage
206500,27780,360,Education
906500,27720,180,Mortgage
646500,27720,360,Personal
486500,27720,180,Personal
286500,27720,360,Mortgage
256500,27720,360,Mortgage
156500,27720,360,Personal
126500,27720,360,Personal
1076500,27660,360,Personal
606500,27660,360,Personal
316500,27660,96,Mortgage
136500,27660,360,Education
1686500,27600,360,Personal
1136500,27600,360,Mortgage
706500,27600,360,Personal
606500,27600,360,Education
506500,27600,360,Personal
376500,27600,360,Personal
306500,27600,360,Mortgage
1146500,27540,360,Personal
326500,27540,360,Education
276500,27540,360,Personal
216500,27540,360,Personal
196500,27540,360,Personal
166500,27540,180,Personal
76500,27540,360,Education
1116500,27480,300,Personal
1006500,27480,360,Mortgage
966500,27480,360,Personal
576500,27480,360,Personal
326500,27480,360,Mortgage
826500,27420,360,Education
546500,27420,180,Education
486500,27420,360,Mortgage
2256500,27360,360,Education
716500,27360,180,Mortgage
486500,27360,180,Education
416500,27360,300,Mortgage
156500,27360,360,Personal
1656500,27300,360,Mortgage
786500,27300,360,Personal
586500,27300,180,Personal
516500,27300,180,Education
456500,27300,360,Personal
306500,27300,360,Mortgage
1506500,27240,360,Education
1106500,27240,360,Personal
536500,27240,360,Mortgage
436500,27240,360,Education
366500,27240,360,Education
1236500,27180,360,Personal
566500,27180,360,Mortgage
556500,27180,360,Personal
486500,27180,360,Education
316500,27180,360,Mortgage
1496500,27120,360,Mortgage
456500,27120,360,Personal
416500,27120,360,Personal
346500,27120,360,Personal
1276500,27060,360,Education
736500,27000,180,Personal
726500,27000,360,Personal
686500,27000,180,Personal
546500,27000,360,Mortgage
456500,27000,360,Personal
456500,27000,360,Personal
336500,27000,180,Personal
286500,27000,360,Education
246500,27000,360,Personal
2006500,26940,360,Mortgage
816500,26940,360,Mortgage
346500,26940,180,Mortgage
1246500,26880,180,Mortgage
616500,26880,180,Personal
526500,26880,360,Education
486500,26880,360,Education
1046500,26820,360,Education
716500,26820,360,Mortgage
706500,26820,360,Personal
396500,26820,180,Mortgage
436500,26760,240,Personal
406500,26760,360,Personal
376500,26760,360,Mortgage
1166500,26640,300,Personal
486500,26640,360,Education
476500,26640,360,Personal
406500,26640,360,Education
406500,26640,360,Education
326500,26640,360,Personal
1146500,26580,360,Education
1126500,26580,360,Personal
726500,26580,360,Personal
716500,26580,360,Personal
706500,26580,360,Personal
646500,26580,360,Mortgage
506500,26580,360,Personal
436500,26580,360,Personal
286500,26580,180,Education
1476500,26520,360,Personal
576500,26520,360,Education
576500,26520,360,Education
466500,26520,360,Education
296500,26520,240,Personal
286500,26520,180,Mortgage
266500,26520,360,Mortgage
656500,26460,360,Personal
466500,26460,360,Personal
226500,26460,360,Mortgage
226500,26460,180,Mortgage
536500,26400,360,Mortgage
316500,26400,360,Education
126500,26400,360,Investment
466500,26340,180,Education
366500,26340,120,Personal
306500,26340,360,Personal
1456500,26280,360,Education
1316500,26280,360,Education
926500,26280,360,Investment
456500,26280,360,Mortgage
236500,26280,120,Mortgage
766500,26220,180,Mortgage
546500,26220,180,Mortgage
486500,26220,360,Education
346500,26220,360,Mortgage
106500,26220,360,Personal
796500,26160,180,Personal
466500,26160,360,Mortgage
206500,26160,360,Investment
1086500,26100,360,Education
776500,26100,180,Mortgage
766500,26100,240,Mortgage
766500,26100,360,Personal
656500,26100,360,Personal
616500,26100,360,Mortgage
536500,26100,360,Mortgage
516500,26100,360,Education
426500,26100,360,Education
396500,26100,360,Personal
386500,26100,360,Education
326500,26100,360,Mortgage
276500,26100,360,Mortgage
946500,26040,360,Mortgage
606500,26040,180,Mortgage
586500,26040,360,Education
486500,26040,180,Personal
336500,26040,360,Mortgage
1386500,25980,360,Personal
1286500,25980,360,Personal
736500,25980,180,Mortgage
726500,25980,180,Mortgage
366500,25980,180,Personal
346500,25980,180,Personal
726500,25920,180,Mortgage
606500,25920,360,Mortgage
586500,25920,360,Mortgage
466500,25920,180,Personal
326500,25920,360,Mortgage
176500,25920,180,Personal
836500,25860,180,Mortgage
76500,25860,180,Mortgage
1036500,25800,360,Personal
856500,25800,360,Personal
726500,25800,360,Education
606500,25800,360,Mortgage
606500,25800,360,Personal
586500,25800,360,Education
446500,25800,360,Personal
216500,25800,360,Education
286500,25740,240,Mortgage
1046500,25680,360,Education
556500,25680,240,Personal
436500,25680,180,Personal
376500,25680,180,Mortgage
126500,25680,360,Mortgage
1336500,25620,360,Personal
1316500,25620,360,Personal
1206500,25620,360,Personal
1066500,25620,180,Mortgage
526500,25620,360,Personal
406500,25620,180,Personal
1136500,25560,360,Education
696500,25560,360,Personal
676500,25560,360,Education
566500,25560,360,Personal
376500,25560,180,Mortgage
326500,25560,360,Personal
806500,25500,180,Mortgage
726500,25500,360,Personal
526500,25500,360,Education
506500,25500,360,Mortgage
486500,25500,360,Education
406500,25500,360,Personal
326500,25500,360,Mortgage
826500,25440,180,Education
806500,25440,360,Education
726500,25440,360,Mortgage
446500,25440,360,Mortgage
396500,25440,360,Personal
336500,25440,360,Personal
1706500,25380,360,Education
276500,25380,360,Mortgage
726500,25320,360,Personal
406500,25320,360,Investment
396500,25320,360,Mortgage
146500,25320,360,Education
1126500,25260,360,Education
696500,25260,360,Personal
566500,25260,240,Mortgage
356500,25260,360,Investment
266500,25260,96,Education
256500,25260,180,Personal
86500,25260,360,Education
1506500,25200,180,Mortgage
1306500,25200,360,Education
666500,25200,360,Education
606500,25200,360,Personal
536500,25200,360,Mortgage
456500,25200,360,Personal
446500,25200,360,Personal
436500,25200,360,Education
356500,25200,360,Education
266500,25200,360,Education
256500,25200,180,Education
76500,25200,360,Education
1076500,25140,360,Personal
756500,25140,324,Education
746500,25140,360,Education
726500,25140,180,Mortgage
556500,25140,360,Personal
986500,25080,360,Personal
706500,25080,360,Mortgage
606500,25080,360,Personal
596500,25080,240,Mortgage
576500,25080,360,Investment
416500,25080,360,Personal
386500,25080,324,Education
326500,25080,360,Mortgage
316500,25080,360,Mortgage
246500,25080,360,Mortgage
826500,25020,360,Personal
676500,25020,360,Personal
1566500,24960,300,Personal
906500,24960,360,Personal
726500,24960,360,Education
606500,24960,360,Personal
516500,24960,360,Mortgage
286500,24960,180,Mortgage
256500,24960,360,Mortgage
206500,24960,180,Education
1256500,24900,360,Education
866500,24900,180,Mortgage
716500,24900,360,Personal
706500,24900,360,Mortgage
646500,24900,360,Personal
636500,24900,360,Personal
596500,24900,360,Mortgage
546500,24900,360,Personal
436500,24900,360,Personal
256500,24900,360,Mortgage
156500,24900,240,Education
1356500,24840,360,Mortgage
1336500,24840,360,Personal
396500,24840,360,Mortgage
366500,24840,180,Personal
326500,24840,240,Mortgage
296500,24840,360,Education
236500,24840,180,Personal
716500,24780,360,Personal
676500,24780,360,Mortgage
666500,24780,360,Mortgage
466500,24780,240,Personal
296500,24780,360,Personal
186500,24780,360,Education
1216500,24720,360,Personal
886500,24720,360,Education
826500,24720,360,Education
816500,24720,360,Personal
756500,24720,360,Mortgage
726500,24720,360,Personal
256500,24660,360,Personal
946500,24600,360,Education
766500,24600,324,Personal
586500,24600,180,Personal
526500,24600,360,Personal
406500,24600,360,Personal
256500,24600,120,Mortgage
666500,24540,360,Personal
616500,24540,360,Mortgage
486500,24540,360,Education
446500,24540,360,Personal
196500,24540,360,Personal
1306500,24480,360,Personal
986500,24480,360,Mortgage
776500,24480,360,Personal
776500,24480,360,Personal
716500,24480,360,Education
536500,24480,360,Personal
716500,24420,360,Mortgage
606500,24420,360,Mortgage
466500,24420,360,Investment
436500,24420,360,Personal
756500,24360,300,Education
646500,24360,360,Mortgage
286500,24360,360,Education
186500,24360,180,Personal
1786500,24300,360,Personal
1716500,24300,360,Education
1016500,24300,360,Education
696500,24300,360,Personal
536500,24300,360,Education
526500,24300,360,Mortgage
516500,24300,360,Education
246500,24300,360,Personal
186500,24300,360,Personal
1406500,24240,360,Mortgage
986500,24240,360,Mortgage
816500,24240,360,Education
516500,24240,360,Education
306500,24240,360,Mortgage
1616500,24180,360,Personal
1506500,24180,360,Personal
966500,24180,180,Personal
606500,24180,180,Personal
396500,24180,180,Personal
316500,24180,360,Education
206500,24180,360,Mortgage
196500,24180,360,Personal
1726500,24120,360,Mortgage
1676500,24120,360,Education
856500,24120,360,Mortgage
786500,24120,360,Personal
406500,24120,360,Personal
366500,24120,360,Mortgage
226500,24120,360,Mortgage
206500,24120,240,Personal
1416500,24060,360,Personal
1066500,24060,360,Mortgage
746500,24060,360,Mortgage
656500,24060,360,Education
626500,24060,360,Personal
626500,24060,360,Mortgage
546500,24060,360,Personal
