Loan_amount,Income,Term
186500,7980,360
66500,6360,180
96500,2400,360
56500,2760,360
306500,6300,360
316500,11280,360
156500,3000,360
386500,4920,360
156500,1860,360
446500,8280,360
476500,7740,360
236500,0,360
366500,3720,360
206500,14400,180
486500,6660,360
1176500,18060,360
286500,4260,360
2006500,38640,324
216500,3720,324
376500,7260,240
166500,2340,240
106500,3360,180
236500,9120,360
126500,1920,180
386500,7800,360
206500,3000,360
396500,5760,360
476500,7680,360
306500,8040,360
286500,0,360
746500,3660,360
266500,10560,180
496500,13020,360
466500,7500,360
106500,1080,360
146500,3060,360
426500,5460,360
546500,0,360
296500,5700,360
406500,3480,360
296500,12300,360
96500,1080,360
436500,8760,360
306500,7500,300
556500,7200,360
456500,6840,300
176500,3300,360
136500,5520,180
576500,0,360
426500,12480,300
216500,2700,360
106500,2400,300
136500,3960,180
96500,2100,360
486500,9780,360
206500,6000,180
196500,6060,360
56500,7200,360
566500,16740,180
346500,4500,360
106500,2400,360
156500,4560,360
196500,2580,360
86500,2280,360
86500,3060,360
146500,6120,360
466500,6300,360
236500,4620,360
326500,7860,180
506500,5580,360
96500,2880,180
406500,3840,360
146500,8040,180
216500,8460,360
446500,4800,360
236500,3060,180
356500,0,360
146500,4140,360
276500,1500,360
116500,7500,360
156500,3060,180
176500,2640,360
336500,4920,360
386500,7200,360
206500,3900,360
476500,15900,360
226500,0,300
206500,7740,360
326500,6300,360
336500,5100,360
566500,11280,360
756500,54000,180
276500,8760,360
156500,0,360
256500,6660,180
126500,2160,300
236500,3600,240
366500,6180,360
506500,4860,360
96500,2160,240
126500,3180,360
256500,4560,360
656500,10500,360
596500,7500,360
416500,7200,324
196500,6060,360
966500,9480,360
216500,2160,360
596500,7080,360
486500,12780,360
596500,7140,360
286500,3000,360
346500,12360,360
106500,1440,360
506500,4680,360
216500,4320,240
436500,3300,360
656500,0,360
366500,7560,360
76500,0,360
396500,4800,300
306500,7200,360
236500,4980,360
386500,2220,360
376500,4080,360
236500,2220,360
486500,12600,360
496500,8040,360
166500,2640,360
286500,1920,360
416500,5700,360
736500,21900,300
826500,0,360
626500,6720,360
586500,9180,360
656500,35820,360
286500,4020,360
216500,6720,360
106500,4620,360
76500,2160,360
226500,4320,360
466500,6060,360
296500,5640,360
456500,5520,360
166500,3600,360
416500,5940,360
326500,8820,360
726500,14100,360
316500,5640,360
226500,1680,360
306500,5520,300
556500,1860,360
366500,8940,360
296500,2640,360
296500,4140,360
196500,2640,360
236500,4920,360
96500,3600,360
176500,1680,360
386500,5340,300
246500,0,360
436500,9660,360
366500,4740,360
176500,2160,360
1356500,39300,360
476500,4860,360
756500,12000,360
86500,1440,180
96500,6720,360
86500,2340,360
346500,3660,360
316500,4560,360
156500,3420,312
236500,3720,360
106500,4980,360
136500,2940,360
726500,9000,360
306500,4380,360
206500,4560,360
216500,7680,360
496500,9900,360
76500,4260,360
366500,8880,324
196500,3180,360
206500,5040,360
116500,1080,360
1546500,21120,180
186500,2640,360
446500,5640,360
146500,0,360
166500,4560,360
156500,2460,360
406500,6960,360
306500,0,360
556500,6900,360
786500,11280,360
246500,0,360
186500,10500,180
1186500,75240,360
566500,8100,360
156500,2580,180
236500,7140,360
106500,6660,360
476500,10140,360
336500,6900,240
806500,13440,360
416500,8880,360
396500,11100,360
106500,1440,360
206500,2400,360
366500,4380,360
116500,4680,300
176500,6660,180
136500,1200,360
156500,3300,360
396500,6900,180
116500,1620,360
316500,4860,324
396500,10080,360
286500,8160,360
466500,16020,300
316500,2100,360
316500,15960,180
76500,10680,360
196500,4260,276
166500,0,360
96500,1920,360
196500,2700,180
426500,7320,324
526500,5520,360
386500,0,360
266500,8640,360
316500,2100,360
416500,5580,360
226500,2820,360
156500,4260,360
206500,6900,360
186500,2460,300
656500,0,360
356500,6120,360
486500,6720,360
126500,7200,180
416500,0,360
356500,4140,360
166500,5520,360
366500,13080,180
116500,2880,360
66500,2160,180
596500,8280,360
166500,3780,360
546500,4200,360
406500,5700,360
216500,2760,360
106500,8940,180
206500,2220,360
376500,4320,360
156500,4860,288
526500,7380,360
106500,3120,276
106500,20700,180
246500,2100,360
86500,2760,360
156500,2220,360
286500,4800,360
406500,6360,360
466500,4800,360
166500,1800,360
436500,360,360
356500,3540,360
366500,7680,360
356500,3840,360
276500,5160,360
416500,5760,360
706500,5940,360
126500,4260,360
76500,1680,360
486500,7140,180
46500,3240,360
366500,3360,360
266500,6480,360
226500,14100,360
296500,2520,360
326500,9060,180
166500,9300,144
256500,14700,360
266500,3300,300
476500,8760,360
96500,7800,360
526500,6900,360
366500,3540,360
236500,2640,360
216500,0,360
356500,0,360
446500,7380,240
646500,10680,300
166500,3960,360
166500,1860,360
126500,2760,360
536500,7140,360
206500,4200,360
916500,0,360
686500,14100,360
216500,5400,240
66500,15360,180
286500,14880,120
206500,5400,180
406500,5700,300
166500,1500,360
476500,10980,360
106500,2100,360
366500,10320,360
186500,2280,300
356500,3480,360
186500,3000,300
566500,7500,180
646500,9300,360
236500,6360,240
206500,17760,360
296500,3660,360
296500,17760,360
126500,9300,180
396500,9900,360
156500,3000,360
206500,7500,240
206500,2580,360
136500,3120,324
266500,8640,360
166500,3360,360
216500,0,360
166500,6840,240
286500,10920,360
146500,5820,360
156500,5160,240
506500,7200,360
316500,5580,240
406500,14220,360
456500,4980,360
36500,7020,360
486500,6960,360
126500,3900,360
256500,6540,360
486500,3960,300
166500,2820,180
296500,9540,180
306500,4980,360
706500,10680,360
326500,7800,360
246500,3720,360
126500,4680,300
76500,2820,360
666500,7560,360
476500,17940,360
176500,5340,360
146500,3060,360
266500,4800,360
1456500,15600,360
1146500,0,360
186500,2820,360
436500,7680,312
696500,6960,360
406500,6240,360
646500,12240,360
586500,7980,360
166500,3180,300
446500,9000,180
226500,2580,360
1276500,17280,300
356500,4500,360
156500,3300,360
476500,15300,360
316500,0,360
326500,6180,240
316500,6000,360
486500,6660,360
106500,3600,240
286500,4680,180
406500,6900,360
356500,10260,360
36500,1980,180
376500,6360,360
556500,7800,360
236500,2820,360
236500,5520,180
596500,13680,360
226500,2280,360
256500,4020,360
266500,3000,300
646500,14400,300
256500,4500,180
146500,2280,180
506500,3060,360
186500,6420,360
196500,5640,240
216500,3780,360
266500,5580,360
276500,11940,240
486500,7380,360
206500,11100,360
156500,3720,360
216500,2700,360
556500,5160,360
226500,6060,180
226500,3060,360
696500,16020,360
106500,3300,360
296500,3660,360
526500,8400,360
436500,8940,360
636500,9600,360
106500,3240,360
456500,5280,360
186500,1560,360
306500,3780,360
266500,4500,180
186500,6060,360
126500,2640,360
196500,4500,180
236500,5760,360
166500,1980,360
206500,16620,96
116500,2280,360
116500,2400,360
176500,5100,360
476500,23760,324
276500,3780,360
136500,1800,360
306500,6000,360
266500,9600,360
386500,8280,360
176500,1380,360
146500,6300,180
66500,2160,360
256500,2820,360
106500,5340,240
436500,5280,360
336500,12360,240
376500,0,360
116500,4080,360
226500,3060,360
176500,1800,360
456500,6900,360
486500,11280,360
126500,3420,360
446500,8580,360
56500,1380,360
226500,3660,360
546500,0,360
426500,6300,360
126500,2040,360
276500,6240,360
206500,7920,360
136500,2580,360
366500,3060,360
86500,3240,360
256500,5700,360
476500,13320,360
186500,6540,180
206500,2940,324
126500,5460,180
306500,7320,120
256500,10380,360
56500,840,360
336500,5100,360
406500,8820,360
126500,2460,180
86500,1620,360
386500,4920,360
296500,2760,360
146500,0,324
706500,9540,360
256500,9120,180
156500,11100,180
246500,2460,360
126500,2460,360
616500,9240,360
266500,8280,360
116500,1920,360
306500,5160,360
386500,8040,360
156500,10500,360
156500,4620,240
156500,2940,360
416500,7920,360
76500,1560,360
176500,2460,360
256500,11460,240
236500,8820,360
126500,3960,180
76500,4680,360
126500,0,360
456500,9420,360
186500,3060,300
86500,2760,180
476500,5820,360
386500,6600,324
126500,4500,240
166500,15360,240
76500,1440,360
196500,0,360
306500,3300,300
156500,2580,360
616500,7800,360
386500,3600,360
256500,7800,360
306500,6360,360
206500,6240,360
396500,13320,360
266500,5640,360
516500,6360,360
256500,4500,360
326500,8820,180
456500,17760,360
156500,2880,360
166500,3240,360
196500,5160,360
206500,6240,360
196500,1260,300
186500,3000,360
736500,10320,360
596500,11940,360
96500,2580,180
196500,3000,360
286500,3960,360
106500,3120,360
176500,16980,324
316500,3420,360
416500,4920,360
246500,8820,180
206500,5640,360
316500,4320,360
156500,1860,360
236500,3600,360
1366500,18000,360
486500,10800,300
416500,4440,360
226500,4440,360
56500,1500,360
266500,4320,360
246500,5100,240
616500,11580,360
346500,4140,360
136500,2400,360
166500,6000,360
316500,9960,360
506500,6960,324
246500,0,300
186500,6360,240
96500,3180,360
376500,14040,360
306500,8640,300
186500,3360,360
406500,4560,300
586500,12180,360
486500,9360,360
266500,4080,360
246500,6060,360
116500,2760,240
286500,6240,360
656500,0,360
226500,3120,360
476500,9900,360
156500,1800,360
236500,5160,240
206500,2580,360
626500,6000,360
266500,2880,360
236500,4020,360
486500,6840,360
486500,7860,360
316500,8340,360
536500,5700,300
236500,4920,180
86500,2400,360
626500,6720,360
646500,10680,360
1006500,19080,360
196500,3000,360
726500,2880,360
776500,18360,360
286500,7200,360
206500,3840,360
286500,3900,300
326500,5400,360
106500,2100,360
536500,0,360
326500,7020,360
106500,0,360
86500,0,360
56500,0,324
46500,1500,360
86500,2280,360
356500,9000,360
296500,1500,240
496500,5460,360
496500,10020,360
106500,4440,360
116500,1500,360
626500,13680,360
346500,5220,360
386500,9840,360
126500,5760,360
276500,2640,360
726500,0,360
486500,11460,360
596500,10320,360
316500,6540,360
76500,2400,180
346500,10500,360
426500,3960,300
496500,11280,360
96500,2040,300
646500,14700,360
206500,2880,180
256500,0,360
286500,4500,360
86500,1620,360
186500,4740,360
226500,3180,360
226500,4200,360
126500,1740,300
636500,8160,360
186500,4560,300
136500,3900,360
266500,8280,360
446500,8040,360
96500,5280,360
586500,10500,360
256500,4860,360
106500,1620,360
966500,28260,360
486500,8580,180
86500,6480,300
176500,4920,180
606500,20400,360
226500,6840,180
546500,11100,360
186500,4740,360
456500,8100,360
126500,3480,180
76500,960,180
706500,6780,360
166500,2100,360
636500,2400,300
66500,2460,360
66500,3180,360
1236500,20160,360
206500,2700,180
456500,8700,360
226500,2040,360
896500,13920,360
286500,8040,168
406500,7200,360
196500,6600,360
226500,4860,360
236500,2700,360
236500,3180,360
276500,7020,240
286500,0,360
3576500,119340,360
296500,2820,360
366500,5100,360
116500,2460,240
966500,17160,360
36500,1380,360
156500,3360,180
826500,11460,360
76500,1680,360
116500,4200,120
246500,5700,240
216500,4080,360
266500,5640,360
256500,3660,300
696500,8520,360
206500,6420,360
556500,8820,360
186500,0,360
156500,300,360
246500,11880,360
76500,3360,132
226500,5340,360
516500,7380,360
166500,3600,240
276500,4320,360
256500,4860,180
136500,3000,360
196500,0,360
426500,5400,300
276500,8460,360
486500,6540,360
186500,3120,360
746500,13920,360
156500,8580,180
936500,18300,360
186500,4380,360
146500,9000,240
346500,8100,360
406500,4560,360
396500,8940,180
396500,4380,360
366500,4560,360
276500,5520,360
766500,23340,300
206500,0,360
76500,2400,180
286500,4440,360
166500,15000,360
726500,15660,300
486500,5400,360
436500,5760,216
66500,360,360
286500,0,360
806500,7380,360
226500,5700,240
446500,7560,180
96500,0,360
286500,0,360
126500,2460,360
266500,3120,360
486500,6240,360
236500,2460,360
316500,6660,360
306500,9600,156
166500,1800,360
326500,6180,360
206500,3120,156
146500,8580,360
476500,9960,360
266500,11400,300
266500,6060,360
416500,14340,300
396500,10860,324
266500,3780,360
156500,6720,108
126500,2100,300
116500,7800,360
286500,4680,324
316500,5100,360
86500,2820,240
416500,11280,360
196500,2880,360
256500,3360,360
476500,16260,180
106500,4320,180
346500,6600,360
206500,3840,360
186500,11400,360
766500,0,360
356500,10800,360
306500,3480,360
116500,3060,360
176500,2160,360
266500,6780,180
176500,2580,360
196500,13200,360
256500,6780,360
356500,4020,360
346500,4440,180
136500,4320,360
156500,2340,360
306500,5880,360
206500,0,360
166500,5820,360
66500,4200,360
276500,4920,300
326500,9000,360
646500,6900,360
446500,4380,300
416500,11580,360
346500,6000,360
226500,2640,360
396500,10920,360
296500,5700,360
396500,5340,360
76500,1980,240
376500,5640,324
396500,9540,360
396500,7440,360
416500,6600,360
276500,47760,180
446500,11520,360
216500,3300,360
136500,2160,180
226500,3780,360
126500,3000,360
136500,6660,360
446500,5940,360
296500,7200,360
196500,3120,360
116500,2280,144
426500,5880,360
216500,5160,360
246500,7440,360
726500,10080,360
186500,3360,360
146500,2700,360
166500,2520,360
326500,5880,360
66500,2220,360
416500,4980,360
556500,0,360
416500,7560,360
116500,9960,180
566500,5520,360
506500,0,360
236500,6060,180
156500,12720,180
216500,9360,180
326500,8100,180
396500,10260,360
406500,4620,360
406500,6360,360
326500,4200,360
216500,2880,360
386500,21540,144
366500,7080,300
316500,0,360
316500,10860,360
166500,1740,360
276500,3120,360
126500,1500,240
216500,4800,300
166500,3840,360
226500,12660,360
226500,4500,360
216500,4560,180
346500,9300,360
106500,0,324
276500,6780,180
446500,5400,360
186500,3360,360
166500,3120,360
346500,4140,360
636500,7080,360
376500,13860,360
126500,3720,180
166500,4500,360
336500,4320,360
486500,8280,360
466500,6480,360
206500,7680,240
726500,27000,360
196500,4260,240
256500,9720,360
136500,4740,180
206500,4140,360
276500,12600,180
436500,13740,324
486500,5700,360
406500,5880,360
486500,9420,360
166500,0,360
746500,7680,360
436500,8520,360
756500,7920,360
106500,3540,300
156500,2640,180
446500,9960,360
616500,13800,360
156500,1740,360
266500,16740,180
686500,12540,360
436500,6360,360
286500,6480,360
186500,3600,360
396500,11760,300
316500,0,360
626500,0,360
416500,4800,360
386500,6060,360
406500,4260,360
336500,7140,360
486500,5400,360
186500,0,360
446500,10800,360
466500,7380,360
486500,2640,360
256500,2220,360
676500,5460,360
206500,2700,360
276500,7740,360
466500,4740,360
386500,11760,360
216500,3600,360
156500,3840,360
286500,4080,360
406500,8460,360
446500,5640,360
436500,8580,360
416500,16620,324
306500,2580,360
166500,1680,360
296500,4200,360
116500,2100,180
406500,12300,240
156500,2400,360
216500,2880,360
216500,0,360
296500,14220,360
56500,1440,360
256500,2880,360
96500,2880,360
556500,10980,360
206500,8100,360
296500,7140,300
316500,4620,360
496500,6000,300
436500,5640,360
106500,8760,240
866500,13620,360
496500,0,360
456500,9480,360
156500,2100,360
306500,9180,360
236500,6060,360
116500,7320,300
286500,3600,360
396500,0,360
246500,6300,300
276500,3840,180
356500,660,360
416500,9480,360
596500,4440,360
146500,4440,360
106500,4680,360
386500,5400,360
366500,9060,360
96500,1260,360
806500,10200,360
286500,5400,324
186500,0,360
376500,13980,360
156500,2220,360
416500,7800,360
236500,2640,360
166500,5700,180
276500,2520,240
286500,4800,360
176500,2040,360
506500,6180,360
376500,7080,360
486500,7620,360
486500,17880,180
326500,3480,360
896500,15600,360
286500,3960,300
96500,1020,300
1806500,21720,360
96500,1020,360
536500,9780,360
446500,14940,360
336500,4860,360
256500,8040,360
106500,1980,360
166500,6780,180
186500,16320,360
436500,0,360
426500,4440,360
176500,2760,360
116500,4020,240
126500,12180,360
146500,3660,324
236500,6720,360
256500,0,360
316500,9060,360
126500,1620,360
266500,0,360
1406500,20820,300
356500,5340,240
496500,6060,360
156500,3060,360
556500,7440,360
366500,4260,360
546500,6000,360
276500,3420,360
156500,1800,360
256500,4920,360
586500,5760,360
146500,3180,360
86500,0,360
226500,5640,180
196500,2880,360
196500,0,360
416500,0,360
436500,13560,300
166500,3240,360
126500,2220,360
86500,6060,360
446500,5880,360
76500,1740,240
246500,6300,360
156500,2580,360
236500,7320,360
366500,4620,360
256500,2160,360
236500,8040,360
156500,0,360
366500,6840,360
166500,6660,240
106500,3480,360
166500,4260,180
456500,7320,240
406500,6480,360
246500,10080,360
846500,30120,360
106500,2460,360
346500,6960,240
356500,4020,360
106500,1620,324
386500,4440,360
726500,15420,240
206500,3720,324
356500,7500,360
1006500,22740,360
826500,7320,360
226500,0,360
126500,2160,360
286500,5040,180
256500,5400,360
126500,2040,360
106500,1800,360
166500,3540,360
626500,7380,360
86500,2280,360
656500,12600,360
506500,6600,360
516500,7200,360
526500,0,360
166500,0,360
446500,9420,360
466500,4740,360
266500,7860,324
366500,4920,360
236500,4740,360
166500,2820,360
116500,2280,360
596500,11400,360
376500,4020,360
216500,900,360
456500,5340,360
156500,2220,180
296500,5400,360
846500,12300,360
616500,8700,360
316500,7740,240
156500,7800,180
726500,9720,360
176500,2520,360
226500,3720,360
716500,11280,300
216500,4980,180
176500,4260,360
216500,7020,360
356500,7200,360
366500,7860,360
346500,12360,240
176500,3600,360
1356500,19800,360
106500,2760,360
126500,3240,360
356500,7320,360
576500,7740,360
186500,1440,180
336500,3780,360
396500,3060,360
186500,6660,360
296500,4560,360
156500,6180,360
1036500,16140,360
366500,8820,312
316500,4140,360
136500,1920,360
206500,3780,360
286500,6420,360
446500,10980,360
336500,7260,360
236500,2460,180
76500,2160,360
156500,2460,300
206500,8700,360
416500,4200,360
926500,12180,360
346500,0,360
206500,33540,180
396500,2460,360
456500,5580,360
156500,5400,180
236500,4200,360
206500,5880,360
366500,5460,348
476500,5220,360
416500,9780,360
206500,7080,180
176500,6540,360
216500,4980,360
306500,5460,360
146500,1500,360
606500,10740,360
76500,3840,360
636500,12240,360
376500,3180,360
156500,6840,180
46500,1260,360
246500,2400,360
256500,3300,324
356500,6720,360
196500,4860,360
516500,6000,360
246500,6720,360
166500,2100,360
276500,29340,360
286500,7020,300
656500,9000,324
206500,3000,360
346500,2940,360
276500,10680,360
326500,10800,360
486500,9360,240
366500,0,360
386500,9780,360
306500,4080,360
196500,2700,360
376500,7500,360
226500,6420,240
266500,4800,360
266500,8040,360
76500,2460,180
226500,3960,360
466500,26340,180
176500,13680,240
206500,5280,180
156500,6360,360
146500,2640,360
336500,2100,360
156500,2340,240
676500,6960,360
246500,5340,360
236500,3240,360
156500,3180,180
526500,9480,360
246500,2580,360
156500,3240,360
196500,3120,360
336500,5040,276
126500,1860,360
566500,0,360
206500,20880,180
446500,6420,360
106500,11400,180
196500,5460,324
346500,5760,324
186500,3540,360
306500,3000,360
366500,5280,360
206500,4080,360
516500,10140,360
176500,2520,360
726500,17700,360
666500,0,360
106500,3000,360
306500,7680,240
276500,6840,360
336500,7380,360
126500,2040,360
86500,3060,360
936500,28920,360
226500,2760,360
226500,3180,240
166500,6300,300
176500,2940,360
346500,5640,360
256500,3060,360
906500,20820,360
96500,3360,360
326500,900,360
236500,5820,360
386500,4620,360
506500,0,360
306500,3540,300
166500,3540,360
296500,4920,360
386500,6480,300
556500,8880,360
616500,5400,360
256500,5100,360
56500,2520,360
246500,3480,300
286500,3840,300
86500,3240,360
196500,5340,360
216500,3000,360
366500,5160,360
276500,4620,180
136500,14520,180
106500,420,360
226500,2880,360
366500,3240,360
256500,5220,240
206500,5940,360
286500,2100,360
1026500,27780,360
116500,2700,360
176500,0,360
316500,0,360
166500,1860,360
286500,6660,120
416500,10620,360
306500,3900,360
306500,5100,360
166500,32400,360
66500,1860,360
576500,18120,180
806500,11760,360
306500,0,360
566500,21240,360
96500,2700,360
396500,5820,360
326500,7200,360
156500,1860,360
706500,7800,360
86500,5280,360
336500,10200,180
156500,720,360
326500,6660,180
226500,2940,360
326500,4200,360
216500,5700,360
276500,1860,360
246500,2520,360
426500,10080,360
416500,7560,360
356500,4920,360
386500,3900,360
576500,5160,360
156500,2760,360
166500,6900,120
576500,7560,360
166500,5640,360
396500,6660,360
146500,3660,180
186500,5280,360
586500,14580,360
136500,5580,360
356500,9720,360
406500,4320,360
96500,4860,360
176500,6360,360
356500,4980,360
346500,6540,360
246500,5340,360
196500,8520,360
96500,3000,180
276500,3660,324
686500,9420,360
286500,6060,360
226500,6660,360
256500,1800,360
366500,5400,360
216500,1800,360
286500,4440,360
766500,3540,360
96500,3600,360
406500,3000,300
726500,18000,360
136500,4200,360
326500,6060,180
146500,3720,360
236500,3360,360
1006500,18960,360
416500,8100,360
536500,15600,360
116500,2820,360
456500,6180,360
366500,4920,360
376500,8160,360
166500,1620,360
366500,0,360
316500,5100,360
156500,11820,360
146500,4140,360
106500,2820,360
316500,0,360
96500,3120,360
116500,1920,360
316500,8940,360
106500,2880,360
326500,3840,360
756500,8520,360
76500,960,360
326500,5100,360
146500,2280,360
346500,3900,360
506500,4560,240
136500,4260,240
76500,0,360
306500,3420,360
486500,4860,360
106500,2400,360
136500,2160,360
266500,5820,360
496500,4740,300
356500,3300,360
216500,5820,324
236500,5820,360
76500,2580,360
346500,5280,360
366500,3060,360
606500,11820,360
486500,9540,360
626500,12000,360
986500,9420,180
246500,0,360
276500,8820,360
756500,24360,300
276500,4320,360
356500,10320,360
156500,3960,360
186500,2040,360
696500,6900,360
356500,6000,180
456500,9720,180
216500,0,360
756500,11280,360
576500,22260,360
86500,2520,360
276500,4320,300
186500,1920,300
96500,2700,360
116500,1860,180
786500,7140,360
146500,0,324
256500,2880,300
266500,3060,360
106500,3120,300
186500,5040,144
506500,6780,360
236500,2880,180
376500,12780,360
146500,1920,300
186500,3240,360
366500,7680,360
156500,6780,180
266500,3300,360
576500,0,360
156500,3840,240
236500,10080,360
136500,3360,360
306500,3240,360
396500,5520,360
306500,18000,360
486500,0,360
126500,2580,360
556500,67860,360
